step,phase,step_in_phase,total_norm,delta_prev,n_ssm_entries
0,warmup,0,847.2836303710938,nan,4
1,warmup,1,1560.86279296875,1506.2332763671875,4
2,warmup,2,2035.114013671875,1819.2340087890625,4
3,warmup,3,2826.45263671875,2533.519775390625,4
4,warmup,4,3380.73291015625,1889.013427734375,4
5,warmup,5,3501.8681640625,1617.3167724609375,4
6,warmup,6,3647.3076171875,1230.6568603515625,4
7,warmup,7,3733.39453125,1058.866943359375,4
8,warmup,8,3786.823974609375,1000.3033447265625,4
9,warmup,9,3836.40234375,985.2119140625,4
10,warmup,10,3871.95068359375,985.0465087890625,4
11,warmup,11,3904.46484375,973.4864501953125,4
12,warmup,12,3943.749755859375,972.484619140625,4
13,warmup,13,3991.28076171875,973.7022094726562,4
14,warmup,14,4036.974853515625,978.12158203125,4
15,warmup,15,4079.43603515625,975.3782348632812,4
16,warmup,16,4123.1484375,980.410888671875,4
17,warmup,17,4164.1533203125,981.9635620117188,4
18,warmup,18,4195.88330078125,990.5375366210938,4
19,warmup,19,4224.4482421875,979.3330078125,4
20,warmup,20,4244.50048828125,977.00439453125,4
21,warmup,21,4266.1064453125,974.8882446289062,4
22,warmup,22,4271.69189453125,977.8436889648438,4
23,warmup,23,4276.71337890625,971.0628051757812,4
24,metric,0,4274.5458984375,969.5306396484375,4
25,metric,1,4282.28759765625,974.8884887695312,4
26,metric,2,4277.31298828125,985.5380249023438,4
27,metric,3,4277.83544921875,980.1168823242188,4
28,metric,4,4271.86865234375,980.5780029296875,4
29,metric,5,4280.67578125,986.90234375,4
30,metric,6,4279.84716796875,992.2531127929688,4
31,metric,7,4284.2197265625,988.260986328125,4
32,metric,8,4284.7509765625,989.8524169921875,4
33,metric,9,4292.71728515625,996.3986206054688,4
34,metric,10,4290.74658203125,1002.1513061523438,4
35,metric,11,4287.0107421875,994.4171752929688,4
36,metric,12,4286.708984375,993.3956909179688,4
37,metric,13,4298.18017578125,997.3751220703125,4
38,metric,14,4301.72802734375,1002.6741943359375,4
39,metric,15,4300.1015625,995.3964233398438,4
40,metric,16,4295.40625,991.5802612304688,4
41,metric,17,4299.9990234375,992.1285400390625,4
42,metric,18,4298.7783203125,993.0667724609375,4
43,metric,19,4300.05810546875,988.2229614257812,4
44,metric,20,4298.5224609375,993.7034301757812,4
45,metric,21,4301.5576171875,995.81298828125,4
46,metric,22,4291.07080078125,999.041259765625,4
47,metric,23,4282.666015625,990.9337768554688,4
48,metric,24,4277.66845703125,989.8331909179688,4
49,metric,25,4287.240234375,992.447998046875,4
50,metric,26,4289.38671875,995.4435424804688,4
51,metric,27,4293.07080078125,989.4930419921875,4
52,metric,28,4288.70361328125,985.1740112304688,4
53,metric,29,4292.3857421875,988.0809326171875,4
54,metric,30,4285.01806640625,990.7752075195312,4
55,metric,31,4282.796875,981.291259765625,4
56,metric,32,4276.16943359375,976.1389770507812,4
57,metric,33,4280.15771484375,973.7485961914062,4
58,metric,34,4274.55908203125,974.4114990234375,4
59,metric,35,4268.8349609375,965.3190307617188,4
60,metric,36,4267.53466796875,963.3963012695312,4
61,metric,37,4276.08349609375,967.901611328125,4
62,metric,38,4280.96142578125,970.9928588867188,4
63,metric,39,4284.5029296875,963.702880859375,4
