step,phase,step_in_phase,total_norm,delta_prev,n_ssm_entries
0,warmup,0,847.28955078125,nan,4
1,warmup,1,1562.171630859375,1506.4610595703125,4
2,warmup,2,2033.888671875,1813.6876220703125,4
3,warmup,3,2826.743896484375,2527.647216796875,4
4,warmup,4,3382.7578125,1885.4990234375,4
5,warmup,5,3513.921142578125,1615.0980224609375,4
6,warmup,6,3666.565185546875,1237.265625,4
7,warmup,7,3756.060302734375,1067.9007568359375,4
8,warmup,8,3813.1357421875,1010.8250732421875,4
9,warmup,9,3862.928955078125,996.10595703125,4
10,warmup,10,3897.51904296875,995.280517578125,4
11,warmup,11,3928.369873046875,982.501220703125,4
12,warmup,12,3964.548583984375,978.3440551757812,4
13,warmup,13,4007.685791015625,975.7898559570312,4
14,warmup,14,4046.963623046875,977.1332397460938,4
15,warmup,15,4081.243896484375,968.990478515625,4
16,warmup,16,4115.251953125,966.2686157226562,4
17,warmup,17,4146.33642578125,960.4278564453125,4
18,warmup,18,4165.64306640625,960.0305786132812,4
19,warmup,19,4181.0048828125,940.6056518554688,4
20,warmup,20,4186.5078125,928.3209228515625,4
21,warmup,21,4195.005859375,916.5029296875,4
22,warmup,22,4184.42236328125,910.4107666015625,4
23,warmup,23,4173.86181640625,891.2538452148438,4
24,metric,0,4157.15673828125,881.519287109375,4
25,metric,1,4154.25,877.0390014648438,4
26,metric,2,4138.5849609375,880.1334228515625,4
27,metric,3,4127.146484375,869.0923461914062,4
28,metric,4,4111.47216796875,865.9668579101562,4
29,metric,5,4111.45654296875,863.5589599609375,4
30,metric,6,4097.23779296875,865.939208984375,4
31,metric,7,4086.239990234375,852.7568359375,4
32,metric,8,4071.808837890625,845.0926513671875,4
33,metric,9,4073.380615234375,844.4342651367188,4
34,metric,10,4063.162353515625,848.0623779296875,4
35,metric,11,4051.065673828125,838.6502685546875,4
36,metric,12,4036.95458984375,836.4520874023438,4
37,metric,13,4034.39697265625,837.8578491210938,4
38,metric,14,4018.76513671875,842.2161865234375,4
39,metric,15,4003.390869140625,828.3966674804688,4
40,metric,16,3990.804443359375,824.7606201171875,4
41,metric,17,3992.106689453125,825.4688110351562,4
42,metric,18,3984.0703125,826.5106811523438,4
43,metric,19,3977.20947265625,815.966552734375,4
44,metric,20,3973.9365234375,811.904541015625,4
45,metric,21,3984.10498046875,815.4215698242188,4
46,metric,22,3982.142822265625,819.585693359375,4
47,metric,23,3978.221923828125,810.6048583984375,4
48,metric,24,3971.21728515625,808.32568359375,4
49,metric,25,3970.96533203125,812.1561279296875,4
50,metric,26,3961.104736328125,818.0723266601562,4
51,metric,27,3949.16845703125,812.8637084960938,4
52,metric,28,3934.579345703125,811.7138671875,4
53,metric,29,3932.82958984375,815.0328369140625,4
54,metric,30,3922.54443359375,819.3487548828125,4
55,metric,31,3913.07568359375,815.9172973632812,4
56,metric,32,3904.262939453125,812.4193725585938,4
57,metric,33,3910.018310546875,814.1632690429688,4
58,metric,34,3907.729736328125,816.3250122070312,4
59,metric,35,3905.919921875,812.7716674804688,4
60,metric,36,3905.454833984375,806.472900390625,4
61,metric,37,3917.235595703125,812.95361328125,4
62,metric,38,3921.729248046875,817.8881225585938,4
63,metric,39,3923.719482421875,812.3817749023438,4
