run,shape,init,lr,beta1,beta2,train_job,eval_job,train_state,eval_state,checkpoint,checkpoint_tag,swa,swa_tag,checkpoint_day10_gc_improvement_pct,checkpoint_day10_gc_loss,checkpoint_day10_t2m_rmse,swa_day10_gc_improvement_pct,swa_day10_gc_loss,swa_day10_t2m_rmse
legacy_di16_bcg1_lr1em4_b1p8_b2p98_cos10k,di16,legacy,0.0001,0.8,0.98,13435248_0,13435335_0,COMPLETED,COMPLETED,9.578929190483409,step4000,12.06686571894121,swa_step02000-08000,16.859496423696964,23.97520923614502,2.43202194259658,19.617432177750405,23.149392783641815,2.3552103487920153
legacy_di16_bcg1_lr1em4_b1p9_b2p98_cos10k,di16,legacy,0.0001,0.9,0.98,13435248_1,13435335_1,COMPLETED,COMPLETED,11.656301406458269,step4000,14.5233375210416,swa_step04000-08000,18.196841900168437,23.67579287290573,2.5872707276387077,20.992501577024715,22.758181035518646,2.3795453951718364
legacy_di16_bcg1_lr1em4_b1p9_b2p999_cos10k,di16,legacy,0.0001,0.9,0.999,13435248_2,13435335_2,COMPLETED,COMPLETED,13.932743547758442,step4000,15.800177509863056,swa_step02000-08000,20.035005992404344,23.041588008403778,2.57298158857329,22.374098966470523,22.38989681005478,2.337981088835738
legacy_di16_bcg1_lr5em5_b1p8_b2p98_cos10k,di16,legacy,5e-05,0.8,0.98,13435248_3,13435335_3,COMPLETED,COMPLETED,2.3817078045621165,step4000,3.479243364449902,swa_step02000-08000,10.867877061102217,25.70334768295288,2.587554567753745,13.467168267583707,24.975187480449677,2.478265385672936
legacy_di16_bcg1_lr5em5_b1p9_b2p98_cos10k,di16,legacy,5e-05,0.9,0.98,13435248_4,13435335_4,COMPLETED,COMPLETED,4.610698454111883,step6000,10.97678200474742,swa_step02000-08000,10.572461287164003,25.751969814300537,2.6949218875280176,17.404892494454984,23.77391165494919,2.4382486631612266
legacy_di16_bcg1_lr5em5_b1p9_b2p999_cos10k,di16,legacy,5e-05,0.9,0.999,13435248_5,13435335_5,COMPLETED,COMPLETED,5.840009963650095,step4000,11.052350927089593,swa_step02000-08000,10.775659023579054,25.659565329551697,3.0886603112831437,16.91503460999566,23.98710012435913,2.4381947112236655
mamba1_di16_bcg1_lr1em4_b1p8_b2p98_cos10k,di16,mamba1,0.0001,0.8,0.98,13435248_6,13435335_6,COMPLETED,COMPLETED,11.94527898569685,step4000,14.602985943925685,swa_step02000-08000,17.83148070231593,23.71478408575058,2.3918221066289354,19.494076792007643,23.173843502998352,2.3530532652662792
mamba1_di16_bcg1_lr1em4_b1p9_b2p98_cos10k,di16,mamba1,0.0001,0.9,0.98,13435248_7,13435335_7,COMPLETED,COMPLETED,12.466062628157715,step8000,16.282891102032526,swa_step02000-08000,17.904584356337296,23.656563580036163,2.3621473275258196,23.210829784511766,22.126073896884918,2.290397526014973
mamba1_di16_bcg1_lr1em4_b1p9_b2p999_cos10k,di16,mamba1,0.0001,0.9,0.999,13435248_8,13435335_8,COMPLETED,COMPLETED,13.389508225801382,step4000,15.501165760994462,swa_step02000-08000,19.485419056243614,23.157724678516388,2.4910260696512414,22.02889665280545,22.44992470741272,2.3376807834706264
mamba1_di16_bcg1_lr5em5_b1p8_b2p98_cos10k,di16,mamba1,5e-05,0.8,0.98,13435248_9,13435335_9,COMPLETED,COMPLETED,9.20983376900798,step2000,12.169676230378935,swa_step02000-08000,14.483478931721471,24.631499648094177,2.479354320662281,17.997325145866615,23.665956676006317,2.365011912233582
mamba1_di16_bcg1_lr5em5_b1p9_b2p98_cos10k,di16,mamba1,5e-05,0.9,0.98,13435248_10,13435335_10,COMPLETED,COMPLETED,6.423591293926812,step4000,12.751888924763232,swa_step02000-08000,11.587963829312676,25.489720046520233,2.5858891325026128,19.378573715061588,23.31019651889801,2.3680159761572876
mamba1_di16_bcg1_lr5em5_b1p9_b2p999_cos10k,di16,mamba1,5e-05,0.9,0.999,13435248_11,13435335_11,COMPLETED,COMPLETED,11.361881134260553,step4000,15.19879131738504,swa_step02000-08000,17.357298929708765,23.813602089881897,2.4255812933363634,20.85693188712995,22.805435240268707,2.326557927514396
legacy_di64_bcg4_lr1em4_b1p8_b2p98_cos10k,di64,legacy,0.0001,0.8,0.98,13435250_0,13435336_0,COMPLETED,COMPLETED,11.46293442761369,step4000,13.338387448151357,swa_step02000-08000,17.039579792412397,23.897676646709442,2.3501675619839237,19.340953394205872,23.230570137500763,2.375492177560043
legacy_di64_bcg4_lr1em4_b1p9_b2p98_cos10k,di64,legacy,0.0001,0.9,0.98,13435250_1,13435336_1,COMPLETED,COMPLETED,8.029244975163296,step8000,14.526596701884742,swa_step02000-08000,12.856869588182674,25.024613738059998,2.510694380069149,20.32804489853236,22.983290195465088,2.377251640900301
legacy_di64_bcg4_lr1em4_b1p9_b2p999_cos10k,di64,legacy,0.0001,0.9,0.999,13435250_2,13435336_2,COMPLETED,COMPLETED,13.097338580714524,step4000,15.396411788544938,swa_step02000-08000,19.257584115878977,23.272799849510193,2.5485837767967183,22.50413116150851,22.305695831775665,2.3263163143768417
legacy_di64_bcg4_lr5em5_b1p8_b2p98_cos10k,di64,legacy,5e-05,0.8,0.98,13435250_3,13435336_3,COMPLETED,COMPLETED,10.455395431783765,step4000,11.640219202380386,swa_step04000-08000,16.099595381877773,24.19239455461502,2.49738364123164,17.199343904318464,23.844511449337006,2.4298307329352196
legacy_di64_bcg4_lr5em5_b1p9_b2p98_cos10k,di64,legacy,5e-05,0.9,0.98,13435250_4,13435336_4,COMPLETED,COMPLETED,8.896332844018618,step6000,12.71877405238422,swa_step02000-08000,13.778143493418415,24.92484539747238,2.5871641571851947,18.97665272385606,23.335888385772705,2.436213885255694
legacy_di64_bcg4_lr5em5_b1p9_b2p999_cos10k,di64,legacy,5e-05,0.9,0.999,13435250_5,13435336_5,COMPLETED,COMPLETED,11.085587665044972,step6000,15.44153876000508,swa_step02000-08000,16.28000053237101,24.14575457572937,2.4604360737342774,21.570582638160495,22.514933168888092,2.310230063729363
mamba1_di64_bcg4_lr1em4_b1p8_b2p98_cos10k,di64,mamba1,0.0001,0.8,0.98,13435250_6,13435336_6,COMPLETED,COMPLETED,12.548474156095368,step4000,15.183951739867307,swa_step02000-08000,19.851945641353108,23.131190836429596,2.371897631738523,22.519717677659056,22.340980112552643,2.296344550708187
mamba1_di64_bcg4_lr1em4_b1p9_b2p98_cos10k,di64,mamba1,0.0001,0.9,0.98,13435250_7,13435336_7,COMPLETED,COMPLETED,13.552717015183802,step4000,15.798224812296723,swa_step02000-08000,19.47727655509005,23.346782207489014,2.4003134975576828,22.797764922826047,22.293028473854065,2.328718011103686
mamba1_di64_bcg4_lr1em4_b1p9_b2p999_cos10k,di64,mamba1,0.0001,0.9,0.999,13435250_8,13435336_8,COMPLETED,COMPLETED,10.171162126746813,step8000,15.768557730062827,swa_step02000-08000,14.679541785104512,24.610738933086395,2.41214576821735,23.011583824620697,22.192868649959564,2.306969081356888
mamba1_di64_bcg4_lr5em5_b1p8_b2p98_cos10k,di64,mamba1,5e-05,0.8,0.98,13435250_9,13435336_9,COMPLETED,COMPLETED,10.757956358256504,step2000,14.254653659010375,swa_step02000-08000,16.000626617618153,24.137846648693085,2.4167696807630157,20.612405913171283,22.920799255371094,2.3464876224318645
mamba1_di64_bcg4_lr5em5_b1p9_b2p98_cos10k,di64,mamba1,5e-05,0.9,0.98,13435250_10,13435336_10,RUNNING,not in snapshot,,,,,,,,,,
mamba1_di64_bcg4_lr5em5_b1p9_b2p999_cos10k,di64,mamba1,5e-05,0.9,0.999,13435250_11,13435336_11,RUNNING,PENDING,,,,,,,,,,
