recipe,run_id,field,pressure_hpa,baseline_contribution,residual_contribution
current_v2,r2p8_w128_di16,temperature,1.0,0.0002473744776671729,0.001048287924708236
current_v2,r2p8_w128_di16,temperature,2.0,0.00032541641380227546,0.005128107748884047
current_v2,r2p8_w128_di16,temperature,3.0,0.00031965124962543475,0.009657831652268568
current_v2,r2p8_w128_di16,temperature,5.0,0.00030193290004890664,0.01232230383797999
current_v2,r2p8_w128_di16,temperature,7.0,0.0002817187674632871,0.012143093940553087
current_v2,r2p8_w128_di16,temperature,10.0,0.00022804499412249437,0.011876926018086348
current_v2,r2p8_w128_di16,temperature,20.0,0.0003441650078355646,0.00299755484764476
current_v2,r2p8_w128_di16,temperature,30.0,0.00038210094071013735,0.0005398351091216472
current_v2,r2p8_w128_di16,temperature,50.0,6.265417603892186e-05,0.005053920507552798
current_v2,r2p8_w128_di16,temperature,70.0,8.538390494806237e-05,0.0011832562933746485
current_v2,r2p8_w128_di16,temperature,100.0,8.415173923474589e-05,0.0005931148157892581
current_v2,r2p8_w128_di16,temperature,125.0,6.966086348707334e-05,0.0008902461614481974
current_v2,r2p8_w128_di16,temperature,150.0,6.718220495948651e-05,0.0003430893617987775
current_v2,r2p8_w128_di16,temperature,175.0,7.170318441505575e-05,0.0001742607291064744
current_v2,r2p8_w128_di16,temperature,200.0,8.546031908439729e-05,0.0001183277188636546
current_v2,r2p8_w128_di16,temperature,225.0,0.00010006621570076687,0.00014704662146764063
current_v2,r2p8_w128_di16,temperature,250.0,0.00010881067454417813,0.0001645986634429337
current_v2,r2p8_w128_di16,temperature,300.0,0.00012056284929798597,0.00018299585790008163
current_v2,r2p8_w128_di16,temperature,350.0,0.0001305914208302596,0.00018141892180131286
current_v2,r2p8_w128_di16,temperature,400.0,0.00014625930457923934,0.0001875834760013872
current_v2,r2p8_w128_di16,temperature,450.0,0.00016469900311454153,0.00019582235830320407
current_v2,r2p8_w128_di16,temperature,500.0,0.0001827080432611217,0.0002178151475399869
current_v2,r2p8_w128_di16,temperature,550.0,0.00021018118735995515,0.00025078739828591183
current_v2,r2p8_w128_di16,temperature,600.0,0.0002426611437693391,0.0002974462371948574
current_v2,r2p8_w128_di16,temperature,650.0,0.00028313825682369236,0.00034765878080997097
current_v2,r2p8_w128_di16,temperature,700.0,0.00033009561325153037,0.0004027959994641739
current_v2,r2p8_w128_di16,temperature,750.0,0.00040326171276631735,0.00048339902747816045
current_v2,r2p8_w128_di16,temperature,775.0,0.0004439026233543328,0.0005112477203517102
current_v2,r2p8_w128_di16,temperature,800.0,0.0005011241382901216,0.0006508759969419568
current_v2,r2p8_w128_di16,temperature,825.0,0.0005876982150681043,0.0007435897957015684
current_v2,r2p8_w128_di16,temperature,850.0,0.0006525686032792613,0.000985584744307437
current_v2,r2p8_w128_di16,temperature,875.0,0.0006862060231511944,0.0010556375510751984
current_v2,r2p8_w128_di16,temperature,900.0,0.0007051580356220939,0.0009633203919968098
current_v2,r2p8_w128_di16,temperature,925.0,0.0007343049673355313,0.0009946162646166932
current_v2,r2p8_w128_di16,temperature,950.0,0.0007918693201016397,0.0010651019907045496
current_v2,r2p8_w128_di16,temperature,975.0,0.0008984240021454455,0.0011763268884130236
current_v2,r2p8_w128_di16,temperature,1000.0,0.0009613496767260123,0.0013166811924800535
current_v2,r2p8_w128_di16,geopotential,1.0,0.2885535428575429,0.007262149869224929
current_v2,r2p8_w128_di16,geopotential,2.0,0.2691469584834432,0.002609078760415447
current_v2,r2p8_w128_di16,geopotential,3.0,0.2295864113391545,0.0021529283096143677
current_v2,r2p8_w128_di16,geopotential,5.0,0.14395382252262315,0.001836640728927009
current_v2,r2p8_w128_di16,geopotential,7.0,0.08024417542493162,0.001207451602948771
current_v2,r2p8_w128_di16,geopotential,10.0,0.024101778275957553,0.0008345685601474425
current_v2,r2p8_w128_di16,geopotential,20.0,0.01193791584951541,0.004628447858641173
current_v2,r2p8_w128_di16,geopotential,30.0,0.030056916222963713,0.0036508312960690566
current_v2,r2p8_w128_di16,geopotential,50.0,5.656626907461578e-05,0.000904453516877179
current_v2,r2p8_w128_di16,geopotential,70.0,6.83212600830612e-05,0.0014059913249602736
current_v2,r2p8_w128_di16,geopotential,100.0,6.214457699111539e-05,0.0002213557280777025
current_v2,r2p8_w128_di16,geopotential,125.0,6.385347838556834e-05,8.095385532797917e-05
current_v2,r2p8_w128_di16,geopotential,150.0,6.929451027465572e-05,8.945983238824665e-05
current_v2,r2p8_w128_di16,geopotential,175.0,7.82537768669277e-05,0.00018404588565549093
current_v2,r2p8_w128_di16,geopotential,200.0,8.884333392136195e-05,0.00012245976412465746
current_v2,r2p8_w128_di16,geopotential,225.0,9.583092013343289e-05,0.00012819024477263104
current_v2,r2p8_w128_di16,geopotential,250.0,0.00010590161522309018,0.00013075484100202525
current_v2,r2p8_w128_di16,geopotential,300.0,0.00012698398663344001,0.0002167494387183706
current_v2,r2p8_w128_di16,geopotential,350.0,0.00014097660674075685,0.00018589563067948153
current_v2,r2p8_w128_di16,geopotential,400.0,0.00014868674298313935,0.0001975871699660642
current_v2,r2p8_w128_di16,geopotential,450.0,0.0001534925004869734,0.0001980710551806221
current_v2,r2p8_w128_di16,geopotential,500.0,0.00015706320971715698,0.00020385823082380022
current_v2,r2p8_w128_di16,geopotential,550.0,0.00016094040858183478,0.00021422041342624172
