run_id,epoch,update,field,pressure_hpa,baseline_mse,residual_mse
r2p8_w128_di16,0,0,temperature,1.0,75.19899358061171,75.19899358061171
r2p8_w128_di16,0,0,temperature,2.0,49.46142185905955,49.46142185905955
r2p8_w128_di16,0,0,temperature,3.0,32.390100264139605,32.390100264139605
r2p8_w128_di16,0,0,temperature,5.0,18.356825226852575,18.356825226852575
r2p8_w128_di16,0,0,temperature,7.0,12.234180402919598,12.234180402919598
r2p8_w128_di16,0,0,temperature,10.0,6.932305318301486,6.932305318301486
r2p8_w128_di16,0,0,temperature,20.0,5.231110039609405,5.231110039609405
r2p8_w128_di16,0,0,temperature,30.0,3.8718095885928965,3.8718095885928965
r2p8_w128_di16,0,0,temperature,50.0,0.38092296676537424,0.38092296676537424
r2p8_w128_di16,0,0,temperature,70.0,0.37079606127902814,0.37079606127902814
r2p8_w128_di16,0,0,temperature,100.0,0.2558116016416615,0.2558116016416615
r2p8_w128_di16,0,0,temperature,125.0,0.16940880641597242,0.16940880641597242
r2p8_w128_di16,0,0,temperature,150.0,0.1361507817232322,0.1361507817232322
r2p8_w128_di16,0,0,temperature,175.0,0.12455395877975778,0.12455395877975778
r2p8_w128_di16,0,0,temperature,200.0,0.12989476659556026,0.12989476659556026
r2p8_w128_di16,0,0,temperature,225.0,0.13519545711090475,0.13519545711090475
r2p8_w128_di16,0,0,temperature,250.0,0.13230877116680964,0.13230877116680964
r2p8_w128_di16,0,0,temperature,300.0,0.12216572812230317,0.12216572812230317
r2p8_w128_di16,0,0,temperature,350.0,0.11342368134108606,0.11342368134108606
r2p8_w128_di16,0,0,temperature,400.0,0.11115286237595418,0.11115286237595418
r2p8_w128_di16,0,0,temperature,450.0,0.11125911449136602,0.11125911449136602
r2p8_w128_di16,0,0,temperature,500.0,0.11108228455192035,0.11108228455192035
r2p8_w128_di16,0,0,temperature,550.0,0.11616847624176556,0.11616847624176556
r2p8_w128_di16,0,0,temperature,600.0,0.12294365673028317,0.12294365673028317
r2p8_w128_di16,0,0,temperature,650.0,0.13241656982304714,0.13241656982304714
r2p8_w128_di16,0,0,temperature,700.0,0.14335038165251415,0.14335038165251415
r2p8_w128_di16,0,0,temperature,750.0,0.16344922613544563,0.16344922613544563
r2p8_w128_di16,0,0,temperature,775.0,0.17411779215450549,0.17411779215450549
r2p8_w128_di16,0,0,temperature,800.0,0.1904199641799599,0.1904199641799599
r2p8_w128_di16,0,0,temperature,825.0,0.21654968975540698,0.21654968975540698
r2p8_w128_di16,0,0,temperature,850.0,0.23338040444244634,0.23338040444244634
r2p8_w128_di16,0,0,temperature,875.0,0.2383985525041921,0.2383985525041921
r2p8_w128_di16,0,0,temperature,900.0,0.23817769453902424,0.23817769453902424
r2p8_w128_di16,0,0,temperature,925.0,0.24131919994591847,0.24131919994591847
r2p8_w128_di16,0,0,temperature,950.0,0.25338859005072684,0.25338859005072684
r2p8_w128_di16,0,0,temperature,975.0,0.28011338818319065,0.28011338818319065
r2p8_w128_di16,0,0,temperature,1000.0,0.29223923702625065,0.29223923702625065
r2p8_w128_di16,0,0,geopotential,1.0,904225144.566323,904225144.566323
r2p8_w128_di16,0,0,geopotential,2.0,421705871.6151203,421705871.6151203
r2p8_w128_di16,0,0,geopotential,3.0,239814309.2783505,239814309.2783505
r2p8_w128_di16,0,0,geopotential,5.0,90220112.5718213,90220112.5718213
