K,width,update,lead_hours,pressure_hpa,field,rmse,baseline_rmse,rmse_ratio
1,128,0,6,1,geopotential,30017.112690917347,30017.112690917347,1.0
1,128,0,6,2,geopotential,20502.3884876883,20502.3884876883,1.0
1,128,0,6,3,geopotential,15455.170984071645,15455.170984071645,1.0
1,128,0,6,5,geopotential,9454.636002500229,9454.636002500229,1.0
1,128,0,6,7,geopotential,5951.390274193691,5951.390274193691,1.0
1,128,0,6,10,geopotential,2712.6580123551735,2712.6580123551735,1.0
1,128,0,6,20,geopotential,1383.490532900262,1383.490532900262,1.0
1,128,0,6,30,geopotential,1782.3774993327822,1782.3774993327822,1.0
1,128,0,6,50,geopotential,48.71837840567823,48.71837840567823,1.0
1,128,0,6,70,geopotential,44.25181490018717,44.25181490018717,1.0
1,128,0,6,100,geopotential,32.36684696735586,32.36684696735586,1.0
1,128,0,6,125,geopotential,27.250452833998416,27.250452833998416,1.0
1,128,0,6,150,geopotential,25.853203015822537,25.853203015822537,1.0
1,128,0,6,175,geopotential,25.879460085026363,25.879460085026363,1.0
1,128,0,6,200,geopotential,26.94857391969595,26.94857391969595,1.0
1,128,0,6,225,geopotential,27.00899913723362,27.00899913723362,1.0
1,128,0,6,250,geopotential,27.853511372988223,27.853511372988223,1.0
1,128,0,6,300,geopotential,29.16670333614647,29.16670333614647,1.0
1,128,0,6,350,geopotential,29.207937994145585,29.207937994145585,1.0
1,128,0,6,400,geopotential,28.084448168897442,28.084448168897442,1.0
1,128,0,6,450,geopotential,26.924804839753435,26.924804839753435,1.0
1,128,0,6,500,geopotential,25.5906557844183,25.5906557844183,1.0
1,128,0,6,550,geopotential,24.343130155875908,24.343130155875908,1.0
1,128,0,6,600,geopotential,23.777138524480296,23.777138524480296,1.0
1,128,0,6,650,geopotential,23.42100179145581,23.42100179145581,1.0
1,128,0,6,700,geopotential,23.71434595430227,23.71434595430227,1.0
1,128,0,6,750,geopotential,23.925957089770304,23.925957089770304,1.0
1,128,0,6,775,geopotential,24.122567562987896,24.122567562987896,1.0
1,128,0,6,800,geopotential,24.41477679319394,24.41477679319394,1.0
1,128,0,6,825,geopotential,24.82136838384357,24.82136838384357,1.0
1,128,0,6,850,geopotential,25.2001591806623,25.2001591806623,1.0
1,128,0,6,875,geopotential,25.662939695315867,25.662939695315867,1.0
1,128,0,6,900,geopotential,26.37463086834615,26.37463086834615,1.0
1,128,0,6,925,geopotential,27.231975129279554,27.231975129279554,1.0
1,128,0,6,950,geopotential,28.138298628468174,28.138298628468174,1.0
1,128,0,6,975,geopotential,29.473191721908822,29.473191721908822,1.0
1,128,0,6,1000,geopotential,31.291805198544278,31.291805198544278,1.0
1,128,0,6,1,temperature,8.585644145124043,8.585644145124043,1.0
1,128,0,6,2,temperature,6.857750280841892,6.857750280841892,1.0
1,128,0,6,3,temperature,5.595503425158137,5.595503425158137,1.0
1,128,0,6,5,temperature,4.228495628067508,4.228495628067508,1.0
1,128,0,6,7,temperature,3.497812416957201,3.497812416957201,1.0
1,128,0,6,10,temperature,2.581661702999672,2.581661702999672,1.0
1,128,0,6,20,temperature,2.3380640474223027,2.3380640474223027,1.0
1,128,0,6,30,temperature,2.0263439145660045,2.0263439145660045,1.0
1,128,0,6,50,temperature,0.5925003334836259,0.5925003334836259,1.0
1,128,0,6,70,temperature,0.5706100911703732,0.5706100911703732,1.0
1,128,0,6,100,temperature,0.45749890306441693,0.45749890306441693,1.0
1,128,0,6,125,temperature,0.36691240447176915,0.36691240447176915,1.0
1,128,0,6,150,temperature,0.327471433827833,0.327471433827833,1.0
1,128,0,6,175,temperature,0.30621465563802763,0.30621465563802763,1.0
1,128,0,6,200,temperature,0.31506225114522685,0.31506225114522685,1.0
1,128,0,6,225,temperature,0.32288913260873686,0.32288913260873686,1.0
1,128,0,6,250,temperature,0.31689929214080653,0.31689929214080653,1.0
1,128,0,6,300,temperature,0.31351115945525054,0.31351115945525054,1.0
1,128,0,6,350,temperature,0.3036021504230704,0.3036021504230704,1.0
1,128,0,6,400,temperature,0.30196674989182404,0.30196674989182404,1.0
1,128,0,6,450,temperature,0.30076424636283866,0.30076424636283866,1.0
1,128,0,6,500,temperature,0.30229639005800685,0.30229639005800685,1.0
1,128,0,6,550,temperature,0.31002479252728576,0.31002479252728576,1.0
1,128,0,6,600,temperature,0.3179765382408303,0.3179765382408303,1.0
1,128,0,6,650,temperature,0.33060825539124505,0.33060825539124505,1.0
1,128,0,6,700,temperature,0.34310377892444033,0.34310377892444033,1.0
1,128,0,6,750,temperature,0.36546232228631653,0.36546232228631653,1.0
1,128,0,6,775,temperature,0.3751180538068075,0.3751180538068075,1.0
1,128,0,6,800,temperature,0.39138594820423345,0.39138594820423345,1.0
1,128,0,6,825,temperature,0.4166086232846167,0.4166086232846167,1.0
1,128,0,6,850,temperature,0.4357134643717728,0.4357134643717728,1.0
1,128,0,6,875,temperature,0.4444190285900196,0.4444190285900196,1.0
1,128,0,6,900,temperature,0.44668719440069277,0.44668719440069277,1.0
1,128,0,6,925,temperature,0.4469750334402169,0.4469750334402169,1.0
1,128,0,6,950,temperature,0.4578317390549868,0.4578317390549868,1.0
1,128,0,6,975,temperature,0.4764615387155689,0.4764615387155689,1.0
1,128,0,6,1000,temperature,0.49038267063452684,0.49038267063452684,1.0
1,128,0,6,1,u_component_of_wind,27.204844325386265,27.204844325386265,1.0
1,128,0,6,2,u_component_of_wind,22.446676899018403,22.446676899018403,1.0
1,128,0,6,3,u_component_of_wind,17.96488830999068,17.96488830999068,1.0
1,128,0,6,5,u_component_of_wind,12.295344974765397,12.295344974765397,1.0
1,128,0,6,7,u_component_of_wind,9.294833048770784,9.294833048770784,1.0
1,128,0,6,10,u_component_of_wind,7.639593738633105,7.639593738633105,1.0
1,128,0,6,20,u_component_of_wind,5.407237474167488,5.407237474167488,1.0
1,128,0,6,30,u_component_of_wind,4.887009149787574,4.887009149787574,1.0
1,128,0,6,50,u_component_of_wind,1.0080882920647531,1.0080882920647531,1.0
1,128,0,6,70,u_component_of_wind,0.9873005182055209,0.9873005182055209,1.0
1,128,0,6,100,u_component_of_wind,0.9996051790556035,0.9996051790556035,1.0
1,128,0,6,125,u_component_of_wind,0.9860765232044753,0.9860765232044753,1.0
1,128,0,6,150,u_component_of_wind,1.008586578339923,1.008586578339923,1.0
1,128,0,6,175,u_component_of_wind,1.0400778167887839,1.0400778167887839,1.0
1,128,0,6,200,u_component_of_wind,1.0819338724505698,1.0819338724505698,1.0
1,128,0,6,225,u_component_of_wind,1.1608111637816696,1.1608111637816696,1.0
1,128,0,6,250,u_component_of_wind,1.2270676950135933,1.2270676950135933,1.0
1,128,0,6,300,u_component_of_wind,1.2830383898066335,1.2830383898066335,1.0
1,128,0,6,350,u_component_of_wind,1.2326156977467604,1.2326156977467604,1.0
1,128,0,6,400,u_component_of_wind,1.156851315813363,1.156851315813363,1.0
1,128,0,6,450,u_component_of_wind,1.0782033970540394,1.0782033970540394,1.0
1,128,0,6,500,u_component_of_wind,1.0116793591201603,1.0116793591201603,1.0
1,128,0,6,550,u_component_of_wind,0.9726858959108473,0.9726858959108473,1.0
1,128,0,6,600,u_component_of_wind,0.9395080895405804,0.9395080895405804,1.0
1,128,0,6,650,u_component_of_wind,0.9249772579484165,0.9249772579484165,1.0
1,128,0,6,700,u_component_of_wind,0.9065132547455201,0.9065132547455201,1.0
1,128,0,6,750,u_component_of_wind,0.891739235815678,0.891739235815678,1.0
1,128,0,6,775,u_component_of_wind,0.8804262263120204,0.8804262263120204,1.0
1,128,0,6,800,u_component_of_wind,0.8758255989947605,0.8758255989947605,1.0
1,128,0,6,825,u_component_of_wind,0.871877105839213,0.871877105839213,1.0
1,128,0,6,850,u_component_of_wind,0.8621702091975713,0.8621702091975713,1.0
1,128,0,6,875,u_component_of_wind,0.8469161548081213,0.8469161548081213,1.0
1,128,0,6,900,u_component_of_wind,0.8358403242679547,0.8358403242679547,1.0
1,128,0,6,925,u_component_of_wind,0.8269162330630735,0.8269162330630735,1.0
1,128,0,6,950,u_component_of_wind,0.8123438089459414,0.8123438089459414,1.0
