width,lead_days,mae_c,n_points,ckpt_step,run_name,ckpt_path,res,mp
128,1,1.7250905663076073,99,50000,res1_m4_w128_mp2_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res1_stream/res1_m4_w128_mp2_h6_bs4/ckpt_step50000.npz,1,2
256,1,1.4932204737807766,99,50000,res1_m4_w256_mp2_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res1_stream/res1_m4_w256_mp2_h6_bs4/ckpt_step50000.npz,1,2
512,1,1.4433159105705493,99,46000,res1_m4_w512_mp2_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res1_stream/res1_m4_w512_mp2_h6_bs4/ckpt_step46000.npz,1,2
1024,1,1.5112955112649935,99,40000,res1_m4_w1024_mp2_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res1_stream/res1_m4_w1024_mp2_h6_bs4/ckpt_step40000.npz,1,2
128,1,1.71315048680161,99,72000,res2_m4_w128_mp2_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res2_stream/res2_m4_w128_mp2_h6_bs4/ckpt_step72000.npz,2,2
256,1,1.560067841500947,99,76000,res2_m4_w256_mp2_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res2_stream/res2_m4_w256_mp2_h6_bs4/ckpt_step76000.npz,2,2
512,1,1.5665717847419507,99,72000,res2_m4_w512_mp2_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res2_stream/res2_m4_w512_mp2_h6_bs4/ckpt_step72000.npz,2,2
1024,1,1.3513454861111112,99,66000,res2_m4_w1024_mp2_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res2_stream/res2_m4_w1024_mp2_h6_bs4/ckpt_step66000.npz,2,2
128,2,2.54437255859375,99,50000,res1_m4_w128_mp2_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res1_stream/res1_m4_w128_mp2_h6_bs4/ckpt_step50000.npz,1,2
256,2,2.202520813604798,99,50000,res1_m4_w256_mp2_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res1_stream/res1_m4_w256_mp2_h6_bs4/ckpt_step50000.npz,1,2
512,2,2.351725568675032,99,46000,res1_m4_w512_mp2_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res1_stream/res1_m4_w512_mp2_h6_bs4/ckpt_step46000.npz,1,2
1024,2,2.392934471669823,99,40000,res1_m4_w1024_mp2_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res1_stream/res1_m4_w1024_mp2_h6_bs4/ckpt_step40000.npz,1,2
128,2,2.537163011955492,99,72000,res2_m4_w128_mp2_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res2_stream/res2_m4_w128_mp2_h6_bs4/ckpt_step72000.npz,2,2
256,2,2.135519316702178,99,76000,res2_m4_w256_mp2_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res2_stream/res2_m4_w256_mp2_h6_bs4/ckpt_step76000.npz,2,2
512,2,2.6342890575678664,99,72000,res2_m4_w512_mp2_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res2_stream/res2_m4_w512_mp2_h6_bs4/ckpt_step72000.npz,2,2
1024,2,2.171237829959754,99,66000,res2_m4_w1024_mp2_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res2_stream/res2_m4_w1024_mp2_h6_bs4/ckpt_step66000.npz,2,2
128,4,3.3694377860637625,99,50000,res1_m4_w128_mp2_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res1_stream/res1_m4_w128_mp2_h6_bs4/ckpt_step50000.npz,1,2
256,4,3.720426308988321,99,50000,res1_m4_w256_mp2_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res1_stream/res1_m4_w256_mp2_h6_bs4/ckpt_step50000.npz,1,2
512,4,4.212224478673453,99,46000,res1_m4_w512_mp2_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res1_stream/res1_m4_w512_mp2_h6_bs4/ckpt_step46000.npz,1,2
1024,4,4.304309883502999,99,40000,res1_m4_w1024_mp2_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res1_stream/res1_m4_w1024_mp2_h6_bs4/ckpt_step40000.npz,1,2
128,4,3.8538824524542297,99,72000,res2_m4_w128_mp2_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res2_stream/res2_m4_w128_mp2_h6_bs4/ckpt_step72000.npz,2,2
256,4,3.2042032877604165,99,76000,res2_m4_w256_mp2_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res2_stream/res2_m4_w256_mp2_h6_bs4/ckpt_step76000.npz,2,2
512,4,3.969409672900884,99,72000,res2_m4_w512_mp2_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res2_stream/res2_m4_w512_mp2_h6_bs4/ckpt_step72000.npz,2,2
1024,4,4.871642758147885,99,66000,res2_m4_w1024_mp2_h6_bs4,/scratch/gpfs/DABANIN/iv9432/Weather_global/artifacts/checkpoints/graphcast_res2_stream/res2_m4_w1024_mp2_h6_bs4/ckpt_step66000.npz,2,2
