rank_by_allvars_day10,run,init,lr,beta1,beta2,t2m_day5,t2m_day10,allvars_day5,allvars_day10,delta_vs_reference_t2m_day5,delta_vs_reference_t2m_day10,delta_vs_reference_allvars_day5,delta_vs_reference_allvars_day10
1,mamba1_di16_bcg1_lr1em4_b1p9_b2p98_cos10k,mamba1,1e-4,0.9,0.98,2.873513495298007,10.564522167131386,7.3697165939934255,23.060017038417758,0.05614115533399833,1.9506434962018417,0.004109010546216041,0.32590442902028727
2,legacy_di16_bcg1_lr1em4_b1p9_b2p999_cos10k,legacy,1e-4,0.9,0.999,3.0724763881314527,8.393674382201777,7.7754265745983435,22.55833005601967,0.25510404816744403,-0.22020428872776776,0.40981899115113407,-0.17578255337780035
3,mamba1_di16_bcg1_lr1em4_b1p9_b2p999_cos10k,mamba1,1e-4,0.9,0.999,2.3263943827710207,8.75616185624141,7.122184301439505,21.962701758128368,-0.490977957192988,0.14228318531186623,-0.24342328200770424,-0.7714108512691027
4,legacy_di16_bcg1_lr1em4_b1p9_b2p98_cos10k,legacy,1e-4,0.9,0.98,2.5477723382146507,7.618307665312717,6.501575443381125,21.16380508681932,-0.26960000174935805,-0.9955710056168279,-0.8640321400660849,-1.570307522578151
5,mamba1_di16_bcg1_lr1em4_b1p8_b2p98_cos10k,mamba1,1e-4,0.8,0.98,2.735847062310022,8.749165518403137,7.198738047198239,20.970402072611904,-0.08152527765398654,0.13528684747359243,-0.16686953624897072,-1.7637105367855668
6,legacy_di16_bcg1_lr1em4_b1p8_b2p98_cos10k,legacy,1e-4,0.8,0.98,0.9365959972676231,8.095554793542032,2.8615365186493325,19.890458540957635,-1.8807763426963855,-0.5183238773875125,-4.504071064797877,-2.843654068439836
7,mamba1_di16_bcg1_lr5em5_b1p8_b2p98_cos10k,mamba1,5e-5,0.8,0.98,1.9480267011900112,8.552421308462247,4.616039803066563,18.92415288004835,-0.8693456387739975,-0.06145736246729783,-2.749567780380646,-3.8099597293491207
8,legacy_di16_bcg1_lr5em5_b1p9_b2p999_cos10k,legacy,5e-5,0.9,0.999,0.963368701434608,5.114743788107162,3.533810224681222,17.672651726031997,-1.8540036385294008,-3.499134882822383,-3.8317973587659875,-5.0614608833654735
9,legacy_di16_bcg1_lr5em5_b1p9_b2p98_cos10k,legacy,5e-5,0.9,0.98,-0.033459647359915363,3.2038816105557366,2.3124066922104447,17.46327079219574,-2.8508319873239243,-5.409997060373808,-5.053200891236765,-5.270841817201731
10,legacy_di16_bcg1_lr5em5_b1p8_b2p98_cos10k,legacy,5e-5,0.8,0.98,-4.920309520712333,3.3515321028883207,-8.812495665025132,13.571494401086214,-7.737681860676342,-5.262346568041224,-16.17810324847234,-9.162618208311256
